"Date";"contador";"FromHour";"ToHour";"Sum"
2017-09-28;"9";0;2;303.166666666667
2017-09-29;"9";2;4;2074.5
2017-09-29;"9";4;6;1971.99368968077
2017-09-29;"9";6;8;3706.5
2017-09-29;"9";8;10;5816.01941747573
2017-09-29;"9";10;12;4678.66666666667
2017-09-29;"9";12;14;3651.35956147655
2017-09-29;"9";14;16;4431.5
2017-09-29;"9";16;18;4343.03475118154
2017-09-29;"9";18;20;3643.83333333333
2017-09-29;"9";20;22;3007.92606516291
2017-09-29;"9";22;24;2906.5
2017-09-29;"9";0;2;1927.59820193638
2017-09-30;"9";2;4;1289
2017-09-30;"9";4;6;1060.06310950125
2017-09-30;"9";6;8;1241.16666666667
2017-09-30;"9";8;10;3563.75623960067
2017-09-30;"9";10;12;6226.83333333333
2017-09-30;"9";12;14;5165.18406440866
2017-09-30;"9";14;16;4037.83333333333
2017-09-30;"9";16;18;3302.94178938594
2017-09-30;"9";18;20;3056.83333333333
2017-09-30;"9";20;22;2717.03760445682
2017-09-30;"9";22;24;2511.5
2017-09-30;"9";0;2;2087.98421489892
2017-10-01;"9";2;4;1429
2017-10-01;"9";4;6;1276.55175292154
2017-10-01;"9";6;8;1461.33333333333
2017-10-01;"9";8;10;2737.25265834489
2017-10-01;"9";10;12;6300.16666666667
2017-10-01;"9";12;14;4821.38072757567
2017-10-01;"9";14;16;4017
2017-10-01;"9";16;18;3779.33333333333
2017-10-01;"9";18;20;3479.66666666667
2017-10-01;"9";20;22;4005.77927927928
2017-10-01;"9";22;24;4255.83333333333
2017-10-01;"9";0;2;2123.71096345515
2017-10-02;"9";2;4;1347.5
2017-10-02;"9";4;6;1192.62509279881
2017-10-02;"9";6;8;2210.66666666667
2017-10-02;"9";8;10;5215.51872399445
2017-10-02;"9";10;12;5002.66666666667
2017-10-02;"9";12;14;3959.38013318535
2017-10-02;"9";14;16;4562.83333333333
2017-10-02;"9";16;18;4527.56933629959
2017-10-02;"9";18;20;3346.66666666667
2017-10-02;"9";20;22;4519.02380952381
2017-10-02;"9";22;24;4273.66666666667
2017-10-02;"9";0;2;2105.20930232558
2017-10-03;"9";2;4;1087.33333333333
2017-10-03;"9";4;6;1007.95463401058
2017-10-03;"9";6;8;1770
2017-10-03;"9";8;10;5090.21445221445
2017-10-03;"9";10;12;4610.83333333333
2017-10-03;"9";12;14;3941.7503671072
2017-10-03;"9";14;16;4448.66666666667
2017-10-03;"9";16;18;4342.61681940202
2017-10-03;"9";18;20;3826.5
2017-10-03;"9";20;22;4303.65087768181
2017-10-03;"9";22;24;3886
2017-10-03;"9";0;2;2107.54318936877
2017-10-04;"9";2;4;1124.66666666667
2017-10-04;"9";4;6;958.024498886414
2017-10-04;"9";6;8;2070.33333333333
2017-10-04;"9";8;10;6069.49297077321
2017-10-04;"9";10;12;5156.16666666667
2017-10-04;"9";12;14;4404.98039215686
2017-10-04;"9";14;16;4517.33333333333
2017-10-04;"9";16;18;4807.8728923476
2017-10-04;"9";18;20;3872.83333333333
2017-10-04;"9";20;22;4373.0493173586
2017-10-04;"9";22;24;4460.5
2017-10-04;"9";0;2;2341.40188209244
2017-10-05;"9";2;4;1283.16666666667
2017-10-05;"9";4;6;1128.20267260579
2017-10-05;"9";6;8;2934.66666666667
2017-10-05;"9";8;10;5787.12711629198
2017-10-05;"9";10;12;4441.16666666667
2017-10-05;"9";12;14;3864.85793562708
2017-10-05;"9";14;16;4474.16666666667
2017-10-05;"9";16;18;4681.41180285344
2017-10-05;"9";18;20;3723.33333333333
2017-10-05;"9";20;22;3822.47587230883
2017-10-05;"9";22;24;3986.5
2017-10-05;"9";0;2;2199.3336564202
2017-10-06;"9";2;4;1138.83333333333
2017-10-06;"9";4;6;1038.27819548872
2017-10-06;"9";6;8;2060.5
2017-10-06;"9";8;10;5808.88095238095
2017-10-06;"9";10;12;5186.33333333333
2017-10-06;"9";12;14;4852.33629300777
2017-10-06;"9";14;16;5360
2017-10-06;"9";16;18;5632.97313322216
2017-10-06;"9";18;20;4971.33333333333
2017-10-06;"9";20;22;4064.904363974
2017-10-06;"9";22;24;3028.66666666667
2017-10-06;"9";0;2;1911.14285714286
2017-10-07;"9";2;4;1266.16666666667
2017-10-07;"9";4;6;1038.32479584261
2017-10-07;"9";6;8;1138.16666666667
2017-10-07;"9";8;10;3468.54315847905
2017-10-07;"9";10;12;6073.33333333333
2017-10-07;"9";12;14;4785.16819317236
2017-10-07;"9";14;16;4391.83333333333
2017-10-07;"9";16;18;3221.28932740411
2017-10-07;"9";18;20;2606.33333333333
2017-10-07;"9";20;22;3171.87372330548
2017-10-07;"9";22;24;2773
2017-10-07;"9";0;2;2293.67829457364
2017-10-08;"9";2;4;1396.33333333333
2017-10-08;"9";4;6;1048.00139120757
2017-10-08;"9";6;8;1111.33333333333
2017-10-08;"9";8;10;2286.43273231623
2017-10-08;"9";10;12;5453
2017-10-08;"9";12;14;4948.01845684152
2017-10-08;"9";14;16;3559
2017-10-08;"9";16;18;3375.08384287567
2017-10-08;"9";18;20;3239
2017-10-08;"9";20;22;3547.18105849582
2017-10-08;"9";22;24;3396
2017-10-08;"9";0;2;1831.49082018636
2017-10-09;"9";2;4;1086
2017-10-09;"9";4;6;981.03634085213
2017-10-09;"9";6;8;1752.66666666667
2017-10-09;"9";8;10;5483.01941747573
2017-10-09;"9";10;12;5497.83333333333
2017-10-09;"9";12;14;4236.3450860633
2017-10-09;"9";14;16;4575.16666666667
2017-10-09;"9";16;18;4108.16666666667
2017-10-09;"9";18;20;3652.66666666667
2017-10-09;"9";20;22;4158.18045112782
2017-10-09;"9";22;24;3436.16666666667
2017-10-09;"9";0;2;1861.38287664914
2017-10-10;"9";2;4;1083.16666666667
2017-10-10;"9";4;6;925.515231726572
2017-10-10;"9";6;8;1819
2017-10-10;"9";8;10;5914.06883152928
2017-10-10;"9";10;12;4992
2017-10-10;"9";12;14;3843.80906148867
2017-10-10;"9";14;16;4330.33333333333
2017-10-10;"9";16;18;4186.5
2017-10-10;"9";18;20;3646.5
2017-10-10;"9";20;22;3843.94415017192
2017-10-10;"9";22;24;3561.33333333333
2017-10-10;"9";0;2;2236.53256758003
2017-10-11;"9";2;4;1346.16666666667
2017-10-11;"9";4;6;1112.53600593912
2017-10-11;"9";6;8;2351
2017-10-11;"9";8;10;6091.48168701443
2017-10-11;"9";10;12;4125.33333333333
2017-10-11;"9";12;14;3343.37607549265
2017-10-11;"9";14;16;4306.83333333333
2017-10-11;"9";16;18;4263.66666666667
2017-10-11;"9";18;20;3931.66666666667
2017-10-11;"9";20;22;4095.90529247911
2017-10-11;"9";22;24;3247.66666666667
2017-10-11;"9";0;2;1872.12977310459
2017-10-12;"9";2;4;1158.83333333333
2017-10-12;"9";4;6;1048.76042537383
2017-10-12;"9";6;8;1149.66666666667
2017-10-12;"9";8;10;2811.65045719036
2017-10-12;"9";10;12;5867.66666666667
2017-10-12;"9";12;14;5241.53530720044
2017-10-12;"9";14;16;4276.33333333333
2017-10-12;"9";16;18;3102.41708310198
2017-10-12;"9";18;20;2360
2017-10-12;"9";20;22;3181.35284280936
2017-10-12;"9";22;24;3328.83333333333
2017-10-12;"9";0;2;1961.14341085271
2017-10-13;"9";2;4;1139
2017-10-13;"9";4;6;956.713437268003
2017-10-13;"9";6;8;1192
2017-10-13;"9";8;10;3514.18469717984
2017-10-13;"9";10;12;4829
2017-10-13;"9";12;14;4480.71815154038
2017-10-13;"9";14;16;4291.33333333333
2017-10-13;"9";16;18;3754.82791817088
2017-10-13;"9";18;20;3253.83333333333
2017-10-13;"9";20;22;3623.92084726867
2017-10-13;"9";22;24;2558.66666666667
2017-10-13;"9";0;2;1592.67497231451
2017-10-14;"9";2;4;1115.83333333333
2017-10-14;"9";4;6;1066.40380157626
2017-10-14;"9";6;8;1186.83333333333
2017-10-14;"9";8;10;2858.13936701832
2017-10-14;"9";10;12;5599.33333333333
2017-10-14;"9";12;14;4450.56918238994
2017-10-14;"9";14;16;4084.66666666667
2017-10-14;"9";16;18;3373.25050954234
2017-10-14;"9";18;20;2872.83333333333
2017-10-14;"9";20;22;2839.01885390545
2017-10-14;"9";22;24;2278
2017-10-14;"9";0;2;1673.74252491694
2017-10-15;"9";2;4;1147.33333333333
2017-10-15;"9";4;6;1043.8269319974
2017-10-15;"9";6;8;1111.33333333333
2017-10-15;"9";8;10;1925.50221852468
2017-10-15;"9";10;12;5501.5
2017-10-15;"9";12;14;4798.50296214015
2017-10-15;"9";14;16;4377.83333333333
2017-10-15;"9";16;18;3065.41152492125
2017-10-15;"9";18;20;3038.83333333333
2017-10-15;"9";20;22;3479.15474209651
2017-10-15;"9";22;24;3647.16666666667
2017-10-15;"9";0;2;1212.85261363426
2017-10-16;"9";2;4;304.185891378064
2017-10-16;"9";4;6;312.092890099505
2017-10-16;"9";6;8;1010.83333333333
2017-10-16;"9";8;10;5672.51461339253
2017-10-16;"9";10;12;4908.83333333333
2017-10-16;"9";12;14;4022.25615398852
2017-10-16;"9";14;16;4490.33333333333
2017-10-16;"9";16;18;4373.84509912915
2017-10-16;"9";18;20;3247
2017-10-16;"9";20;22;3409.13838047698
2017-10-16;"9";22;24;3925.83333333333
2017-10-16;"9";0;2;1301.08035572495
2017-10-17;"9";2;4;262.982372558361
2017-10-17;"9";4;6;262.982372558361
2017-10-17;"9";6;8;968.05986977926
2017-10-17;"9";8;10;5669.49191387118
2017-10-17;"9";10;12;5054.66666666667
2017-10-17;"9";12;14;3825.33333333333
2017-10-17;"9";14;16;3924.16666666667
2017-10-17;"9";16;18;4533.67295946696
2017-10-17;"9";18;20;3661.5
2017-10-17;"9";20;22;4323.25975473802
2017-10-17;"9";22;24;3724
2017-10-17;"9";0;2;2321.75050728648
2017-10-18;"9";2;4;380
2017-10-18;"9";4;6;378.184837092732
2017-10-18;"9";6;8;600.75
2017-10-18;"9";8;10;5349.06125751271
2017-10-18;"9";10;12;5378.33333333333
2017-10-18;"9";12;14;4102.83333333333
2017-10-18;"9";14;16;5261.83333333333
2017-10-18;"9";16;18;4324.88904325276
2017-10-18;"9";18;20;3638.83333333333
2017-10-18;"9";20;22;3905.07984474633
2017-10-18;"9";22;24;4014.5
2017-10-18;"9";0;2;1118.52226476165
2017-10-19;"9";2;4;67.8269061220546
2017-10-19;"9";4;6;67.8269061220546
2017-10-19;"9";6;8;67.8269061220546
2017-10-19;"9";8;10;67.8269061220546
2017-10-19;"9";10;12;67.8269061220546
2017-10-19;"9";12;14;67.8269061220546
2017-10-19;"9";14;16;67.8269061220546
2017-10-19;"9";16;18;67.8269061220546
2017-10-19;"9";18;20;67.8269061220546
2017-10-19;"9";20;22;67.8269061220546
2017-10-19;"9";22;24;59.5924048206742
2017-10-19;"9";0;2;9.70101458289883
2017-10-20;"9";2;4;9.70101458289883
2017-10-20;"9";4;6;9.70101458289883
2017-10-20;"9";6;8;9.70101458289883
2017-10-20;"9";8;10;9.70101458289883
2017-10-20;"9";10;12;9.70101458289883
2017-10-20;"9";12;14;9.70101458289883
2017-10-20;"9";14;16;9.70101458289883
2017-10-20;"9";16;18;9.70101458289883
2017-10-20;"9";18;20;9.70101458289883
2017-10-20;"9";20;22;9.70101458289883
2017-10-20;"9";22;24;9.70101458289883
2017-10-20;"9";0;2;9.70101458289883
2017-10-21;"9";2;4;9.70101458289883
2017-10-21;"9";4;6;9.70101458289883
2017-10-21;"9";6;8;9.70101458289883
2017-10-21;"9";8;10;9.70101458289883
2017-10-21;"9";10;12;9.70101458289883
2017-10-21;"9";12;14;9.70101458289883
2017-10-21;"9";14;16;9.70101458289883
2017-10-21;"9";16;18;9.70101458289883
2017-10-21;"9";18;20;9.70101458289883
2017-10-21;"9";20;22;9.70101458289883
2017-10-21;"9";22;24;9.70101458289883
2017-10-21;"9";0;2;9.70101458289883
2017-10-22;"9";2;4;9.70101458289883
2017-10-22;"9";4;6;9.70101458289883
2017-10-22;"9";6;8;9.70101458289883
2017-10-22;"9";8;10;9.70101458289883
2017-10-22;"9";10;12;9.70101458289883
2017-10-22;"9";12;14;9.70101458289883
2017-10-22;"9";14;16;9.70101458289883
2017-10-22;"9";16;18;9.70101458289883
2017-10-22;"9";18;20;9.70101458289883
2017-10-22;"9";20;22;9.70101458289883
2017-10-22;"9";22;24;9.70101458289883
2017-10-22;"9";0;2;9.70101458289883
2017-10-23;"9";2;4;9.70101458289883
2017-10-23;"9";4;6;9.70101458289883
2017-10-23;"9";6;8;9.70101458289883
2017-10-23;"9";8;10;9.70101458289883
2017-10-23;"9";10;12;9.70101458289883
2017-10-23;"9";12;14;9.70101458289883
2017-10-23;"9";14;16;9.70101458289883
2017-10-23;"9";16;18;9.70101458289883
2017-10-23;"9";18;20;9.70101458289883
2017-10-23;"9";20;22;9.70101458289883
2017-10-23;"9";22;24;9.70101458289883
2017-10-23;"9";0;2;9.70101458289883
2017-10-24;"9";2;4;9.70101458289883
2017-10-24;"9";4;6;9.70101458289883
2017-10-24;"9";6;8;9.70101458289883
2017-10-24;"9";8;10;9.70101458289883
2017-10-24;"9";10;12;9.70101458289883
2017-10-24;"9";12;14;9.70101458289883
2017-10-24;"9";14;16;9.70101458289883
2017-10-24;"9";16;18;9.70101458289883
2017-10-24;"9";18;20;9.70101458289883
2017-10-24;"9";20;22;9.70101458289883
2017-10-24;"9";22;24;9.70101458289883
2017-10-24;"9";0;2;9.70101458289883
2017-10-25;"9";2;4;9.70101458289883
2017-10-25;"9";4;6;9.70101458289883
2017-10-25;"9";6;8;9.70101458289883
2017-10-25;"9";8;10;9.70101458289883
2017-10-25;"9";10;12;9.70101458289883
2017-10-25;"9";12;14;9.70101458289883
2017-10-25;"9";14;16;9.70101458289883
2017-10-25;"9";16;18;9.70101458289883
2017-10-25;"9";18;20;9.70101458289883
2017-10-25;"9";20;22;9.70101458289883
2017-10-25;"9";22;24;9.70101458289883
2017-10-25;"9";0;2;9.70101458289883
2017-10-26;"9";2;4;9.70101458289883
2017-10-26;"9";4;6;9.70101458289883
2017-10-26;"9";6;8;9.70101458289883
2017-10-26;"9";8;10;9.70101458289883
2017-10-26;"9";10;12;9.70101458289883
2017-10-26;"9";12;14;9.70101458289883
2017-10-26;"9";14;16;9.70101458289883
2017-10-26;"9";16;18;9.70101458289883
2017-10-26;"9";18;20;9.70101458289883
2017-10-26;"9";20;22;9.70101458289883
2017-10-26;"9";22;24;9.70101458289883
2017-10-26;"9";0;2;9.70101458289883
2017-10-27;"9";2;4;9.70101458289883
2017-10-27;"9";4;6;9.70101458289883
2017-10-27;"9";6;8;9.70101458289883
2017-10-27;"9";8;10;9.70101458289883
2017-10-27;"9";10;12;9.70101458289883
2017-10-27;"9";12;14;9.70101458289883
2017-10-27;"9";14;16;9.70101458289883
2017-10-27;"9";16;18;9.70101458289883
2017-10-27;"9";18;20;9.70101458289883
2017-10-27;"9";20;22;9.70101458289883
2017-10-27;"9";22;24;9.70101458289883
2017-10-27;"9";0;2;9.70101458289883
2017-10-28;"9";2;4;9.70101458289883
2017-10-28;"9";4;6;9.70101458289883
2017-10-28;"9";6;8;9.70101458289883
2017-10-28;"9";8;10;9.70101458289883
2017-10-28;"9";10;12;9.70101458289883
2017-10-28;"9";12;14;9.70101458289883
2017-10-28;"9";14;16;9.70101458289883
2017-10-28;"9";16;18;9.70101458289883
2017-10-28;"9";18;20;9.70101458289883
2017-10-28;"9";20;22;9.70101458289883
2017-10-28;"9";22;24;9.70101458289883
2017-10-28;"9";0;2;9.70101458289883
2017-10-29;"9";2;4;14.5515218743482
2017-10-29;"9";4;6;9.70101458289883
2017-10-29;"9";6;8;9.70101458289883
2017-10-29;"9";8;10;9.70101458289883
2017-10-29;"9";10;12;9.70101458289883
